,tweet,verified,created_at,location,favourites,retweets
35,Gini doang dah capek😂 #popcat #popcatindonesia https://t.co/HrWyHpcsu8,False,2021-08-15 13:54:48,,0,0
36,#popcat #popdog #ม๊อบ15สิงหา #popcatMalaysia https://t.co/F3lw2jJ6jH,False,2021-08-15 13:54:49,,3,6
37,เสียนิ้วไม่ว่า เสียหน้าไม่ได้ #popcat https://t.co/ud6pRK1IuY,False,2021-08-15 13:54:50,,26,25
38,#popcat,False,2021-08-15 13:55:03,,0,0
39,"กุขำความคนไทย ในประเทศทะเลาะกันฟาดกันจะเป็นจะตาย... อยู่ๆก็ร่วมใจกันกดอีแมว วันเดียวชนะเลิศไปเลย 🤣🤣🤣🤣 
#popcat https://t.co/p0At3UEBWq",False,2021-08-15 13:55:07,DC/Paris/London/Morocco,206,80
40,"ได้แชมป์โลกแล้ว แต่ทำไมยังไม่ได้ประชาธิปไตยวะ😿  สู้ๆพวกเรา!!
#popcat",False,2021-08-15 13:55:07,,5,4
41,Popcat ni takda deadline ka? Sampai bila nak pop tentukan pemenang 😅 #popcat,False,2021-08-15 13:55:07,Malaysia 🇲🇾,0,0
43,"มาจ้า จาก POPCAT ไปนิ้วล็อกต่อกับ POPDOG 🤣

#popcat #popdog https://t.co/W0qAlRtA85",False,2021-08-15 13:55:10,Anywhere,0,0
42,ลุงไนท์เล่นน่ารักอ่ะ เหมือนแมวพูดแต่เสียงลุงไนท์ 555555 #popcat https://t.co/ub4831AEep,False,2021-08-15 13:55:10,,9,13
44,ก็คือไม่แผ่วกันเลย 55555554 #popcat https://t.co/dayGyrOza8,False,2021-08-15 13:55:15,,0,0
45,"ไอ่เหี้ย บารมีก็มาว่ะ 
#popcat https://t.co/9kkEIMDXaN",False,2021-08-15 13:55:17,,0,0
46,หวังอะไรกับวัคซีน กด #popcat ดีกว่า,False,2021-08-15 13:55:21,,2,0
47,"ไม่กี่วิก็คือขึ้นหลายล้านนะ 55555
สุดปังนะ ไปให้สุด !!!!
THAILAND ONLY 👊🏻👊🏻👊🏻
#popcat https://t.co/4jz6T3PiOL",False,2021-08-15 13:55:22,",,IE XII,,",7,7
48,#popcat https://t.co/Y0IKouQInj,False,2021-08-15 13:55:33,,0,0
49,"กดจนตาน้อนแดง กูตกใจหมดเลย
#popcat https://t.co/O2RBGEUlw1",False,2021-08-15 13:55:34,"อ.หนองแซง, จ.สระบุรี",0,2
50,ทั้งที่เด็กคนนั้นเขาอาจจะมีความฝันที่อยากทำอย่างอื่น เช่น ยูทูปเบอร์ นักร้อง นักวาดรูป เพาะพันธุ์ปลา เป็นต้น หากเป็… https://t.co/lptYfSWAV1,False,2021-08-15 13:55:36,,0,0
51,#หัวขบวน #CarMob  #ม็อบ15สิงหาคม #ม็อบ15สิงหา #popcat #WhatsHappeningInThailand #สมบัติทัวร์ #voicetv #cnn360 https://t.co/JmUe8qqelF,False,2021-08-15 13:55:40,,6,5
52,ร้ายกาจ!!!! อย่ามาเก่งกับประเทศที่ว่างงานกันนะ 55555 #popcat #popcatthailand https://t.co/jj38rmwKBK,False,2021-08-15 13:55:41,,7,3
53,ที่หายไปคือ กด #popcat ค่ะ 5555555 https://t.co/bQp8sEvKtw,False,2021-08-15 13:55:42,,4,1
54,มาหลังชาวบ้านแต่ตอนนี้ขึ้นอันดับ 1 ไปแล้ว ชอบเอเนอร์จี้คนไทยตอนต้องไฟต์กับประเทศอื่นมาก #popcat https://t.co/iwHnP1tBra,False,2021-08-15 13:55:47,,1,2
